flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications
2024-11-06T12:56:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T12:56Z,2024-11-06T13:02Z,2024-11-06T13:11Z,M1.2,S10E90,13889.0,,2024-11-08T14:09Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34446/-1,,
2024-11-06T13:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T13:36Z,2024-11-06T13:40Z,2024-11-06T13:46Z,X2.3,S06E13,13883.0,,2024-11-06T14:29Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34449/-1,,"[{'messageID': '20241106-AL-003', 'messageIssueTime': '2024-11-06T13:43Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34450/1'}, {'messageID': '20241106-AL-004', 'messageIssueTime': '2024-11-06T13:53Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34451/1'}]"
2024-11-06T14:27:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T14:27Z,2024-11-06T14:38Z,2024-11-06T14:45Z,M5.3,S10E90,13889.0,"This flare was observed from a region that was unnumbered at the time, but has since been numbered as Active Region 13889. The observed X-ray flux associated with this flare fluctuated above M5.0 levels twice, but the associated EUV imagery, seen in SDO AIA 131, confirms that this is one event.",2024-11-08T17:42Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34452/-1,,"[{'messageID': '20241106-AL-005', 'messageIssueTime': '2024-11-06T14:39Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34453/1'}, {'messageID': '20241106-AL-006', 'messageIssueTime': '2024-11-06T14:45Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34455/1'}, {'messageID': '20241106-AL-007', 'messageIssueTime': '2024-11-06T14:50Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34457/1'}]"
2024-11-06T15:50:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T15:50Z,2024-11-06T15:57Z,2024-11-06T16:03Z,M1.6,S10E90,13889.0,,2024-11-08T14:22Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34466/-1,[{'activityID': '2024-11-06T16:48:00-CME-001'}],
2024-11-06T17:10:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T17:10Z,2024-11-06T17:18Z,2024-11-06T17:23Z,M1.2,S10E90,13889.0,,2024-11-08T14:23Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34465/-1,,
2024-11-06T18:53:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T18:53Z,2024-11-06T18:59Z,2024-11-06T19:13Z,M1.1,S10E90,13889.0,Simultaneous flaring from AR 3883 as well.,2024-11-08T14:24Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34470/-1,,
2024-11-06T20:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T20:35Z,2024-11-06T20:42Z,2024-11-06T20:52Z,M1.3,S10E90,13889.0,,2024-11-07T16:04Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34475/-1,,
2024-11-06T22:43:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T22:43Z,2024-11-06T23:05Z,2024-11-06T23:10Z,M1.1,S10E90,13889.0,,2024-11-07T16:06Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34477/-1,,
2024-11-06T23:10:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T23:10Z,2024-11-06T23:16Z,2024-11-06T23:21Z,M1.1,S10E90,13889.0,Simultaneous flaring from AR 3889 on E limb and AR 3878.,2024-11-07T16:07Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34478/-1,[{'activityID': '2024-11-06T23:36:00-CME-001'}],
2024-11-06T23:24:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T23:24Z,2024-11-06T23:28Z,2024-11-06T23:31Z,M1.2,S10E90,13889.0,,2024-11-08T14:30Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34479/-1,,
2024-11-06T23:42:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T23:42Z,2024-11-07T00:04Z,2024-11-07T00:16Z,M1.6,S06E08,13883.0,Simultaneous flaring from AR 3883 and AR 3889 on the E limb.,2024-11-07T16:07Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34482/-1,,
2024-11-07T01:15:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T01:15Z,2024-11-07T01:27Z,2024-11-07T01:39Z,M2.5,S10E90,13889.0,,2024-11-07T16:08Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34487/-1,,
2024-11-07T03:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T03:52Z,2024-11-07T04:20Z,2024-11-07T04:32Z,M2.5,S07E04,13883.0,,2024-11-07T12:11Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34491/-1,,
